ID,Raw_Text,Label
277,Loooveeee this!!! 💕💕💕,0
278,Python is so cooool 😎😎!!!,1
279,Check out this new product: http://shop.com #shopping,1
280,Tooootallly agree with you!!!,1
281,Ohhh woww!! This is amaaazinggg 😍😍,1
282,Best offer ever!!! Call now 123-456-7890,1
283,Breaking News!!! Read more at http://news.com,1
284,Order now and get 50% off! Limited time offer!,1
285,Email me at contact@example.com for inquiries.,0
286,Python is so cooool 😎😎!!!,0
287,Email me at contact@example.com for inquiries.,1
288,This is a test message with extraaaaaa letters!,0
289,Tooootallly agree with you!!!,1
290,I'm lovvvvving this new update!!! 💖💖,1
291,Loooveeee this!!! 💕💕💕,1
292,Hey there!!! Visit my blog at https://example.com #blogging,1
293,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
294,Loooveeee this!!! 💕💕💕,0
295,I'm lovvvvving this new update!!! 💖💖,0
296,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0
297,I'm lovvvvving this new update!!! 💖💖,0
298,Loooveeee this!!! 💕💕💕,1
299,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0
300,100% Guaranteed!!! Best deals only today.,0
301,Loooveeee this!!! 💕💕💕,1
302,Check out this new product: http://shop.com #shopping,0
303,Breaking News!!! Read more at http://news.com,1
304,Win a free iPhone!!! Click here: http://scam.com,1
305,Hello everyone!!! Have a great day 😃,0
306,Ohhh woww!! This is amaaazinggg 😍😍,1
307,Best offer ever!!! Call now 123-456-7890,1
308,I'm lovvvvving this new update!!! 💖💖,1
309,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0
310,Email me at contact@example.com for inquiries.,0
311,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1
312,Hello everyone!!! Have a great day 😃,0
313,Hello everyone!!! Have a great day 😃,1
314,Breaking News!!! Read more at http://news.com,1
315,Loooveeee this!!! 💕💕💕,1
316,Hey there!!! Visit my blog at https://example.com #blogging,1
317,Loooveeee this!!! 💕💕💕,1
318,Loooveeee this!!! 💕💕💕,0
319,Ohhh woww!! This is amaaazinggg 😍😍,0
320,Follow me @user123 for more updates!!,0
321,Tooootallly agree with you!!!,0
322,Hey there!!! Visit my blog at https://example.com #blogging,1
323,Loooveeee this!!! 💕💕💕,1
324,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0
325,Best offer ever!!! Call now 123-456-7890,1
326,OMG!!! This is sooooo exciting 😱😱,0
327,Loooveeee this!!! 💕💕💕,1
328,Hello everyone!!! Have a great day 😃,0
329,100% Guaranteed!!! Best deals only today.,0
330,I'm lovvvvving this new update!!! 💖💖,0
331,Hello everyone!!! Have a great day 😃,0
332,Breaking News!!! Read more at http://news.com,0
333,100% Guaranteed!!! Best deals only today.,1
334,Breaking News!!! Read more at http://news.com,1
335,Ohhh woww!! This is amaaazinggg 😍😍,0
336,I'm lovvvvving this new update!!! 💖💖,0
337,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
338,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0
339,Order now and get 50% off! Limited time offer!,1
340,Loooveeee this!!! 💕💕💕,1
341,Python is so cooool 😎😎!!!,0
342,Loooveeee this!!! 💕💕💕,0
343,Follow me @user123 for more updates!!,0
344,Python is so cooool 😎😎!!!,0
345,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0
346,Ohhh woww!! This is amaaazinggg 😍😍,1
347,Order now and get 50% off! Limited time offer!,1
348,Hello everyone!!! Have a great day 😃,1
349,Tooootallly agree with you!!!,0
350,OMG!!! This is sooooo exciting 😱😱,1
351,Python is so cooool 😎😎!!!,1
352,Hello everyone!!! Have a great day 😃,0
353,Win a free iPhone!!! Click here: http://scam.com,0
354,Order now and get 50% off! Limited time offer!,0
355,Breaking News!!! Read more at http://news.com,1
356,Order now and get 50% off! Limited time offer!,1
357,Win a free iPhone!!! Click here: http://scam.com,1
358,Check out this new product: http://shop.com #shopping,1
359,Ohhh woww!! This is amaaazinggg 😍😍,1
360,Loooveeee this!!! 💕💕💕,1
361,100% Guaranteed!!! Best deals only today.,0
362,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
363,Loooveeee this!!! 💕💕💕,1
364,Breaking News!!! Read more at http://news.com,1
365,Retweet this!! #trending #viral,0
366,This is a test message with extraaaaaa letters!,1
367,Breaking News!!! Read more at http://news.com,0
368,Loooveeee this!!! 💕💕💕,0
369,Order now and get 50% off! Limited time offer!,0
370,Tooootallly agree with you!!!,0
371,Check out this new product: http://shop.com #shopping,0
372,I'm lovvvvving this new update!!! 💖💖,0
373,100% Guaranteed!!! Best deals only today.,0
374,Email me at contact@example.com for inquiries.,1
375,Best offer ever!!! Call now 123-456-7890,1
376,Retweet this!! #trending #viral,0
377,Check out this new product: http://shop.com #shopping,0
378,Tooootallly agree with you!!!,1
379,Email me at contact@example.com for inquiries.,0
380,Check out this new product: http://shop.com #shopping,1
381,Order now and get 50% off! Limited time offer!,0
382,Loooveeee this!!! 💕💕💕,1
383,Check out this new product: http://shop.com #shopping,0
384,Tooootallly agree with you!!!,0
385,Follow me @user123 for more updates!!,1
386,Best offer ever!!! Call now 123-456-7890,0
387,Breaking News!!! Read more at http://news.com,1
388,This is a test message with extraaaaaa letters!,0
389,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
390,Loooveeee this!!! 💕💕💕,1
391,Win a free iPhone!!! Click here: http://scam.com,0
392,Best offer ever!!! Call now 123-456-7890,0
393,Hello everyone!!! Have a great day 😃,1
394,Hello everyone!!! Have a great day 😃,0
395,100% Guaranteed!!! Best deals only today.,1
396,Tooootallly agree with you!!!,0
397,Check out this new product: http://shop.com #shopping,1
398,Order now and get 50% off! Limited time offer!,0
399,Best offer ever!!! Call now 123-456-7890,1
400,Ohhh woww!! This is amaaazinggg 😍😍,0
401,Best offer ever!!! Call now 123-456-7890,0
402,Win a free iPhone!!! Click here: http://scam.com,1
403,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
404,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
405,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
406,Best offer ever!!! Call now 123-456-7890,1
407,Breaking News!!! Read more at http://news.com,1
408,100% Guaranteed!!! Best deals only today.,1
409,Email me at contact@example.com for inquiries.,0
410,Follow me @user123 for more updates!!,1
411,Retweet this!! #trending #viral,1
412,Retweet this!! #trending #viral,0
413,This is a test message with extraaaaaa letters!,0
414,Email me at contact@example.com for inquiries.,0
415,100% Guaranteed!!! Best deals only today.,1
416,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
417,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
418,Best offer ever!!! Call now 123-456-7890,1
419,Follow me @user123 for more updates!!,1
420,Hello everyone!!! Have a great day 😃,1
421,Hello everyone!!! Have a great day 😃,0
422,Hello everyone!!! Have a great day 😃,0
423,This is a test message with extraaaaaa letters!,1
424,Hey there!!! Visit my blog at https://example.com #blogging,1
425,Ohhh woww!! This is amaaazinggg 😍😍,1
426,Python is so cooool 😎😎!!!,0
427,Win a free iPhone!!! Click here: http://scam.com,1
428,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0
429,Retweet this!! #trending #viral,1
430,Hey there!!! Visit my blog at https://example.com #blogging,1
431,Loooveeee this!!! 💕💕💕,0
432,Order now and get 50% off! Limited time offer!,1
433,Email me at contact@example.com for inquiries.,1
434,OMG!!! This is sooooo exciting 😱😱,1
435,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0
436,Check out this new product: http://shop.com #shopping,1
437,This is a test message with extraaaaaa letters!,0
438,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
439,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0
440,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0
441,Hello everyone!!! Have a great day 😃,0
442,I'm lovvvvving this new update!!! 💖💖,1
443,100% Guaranteed!!! Best deals only today.,1
444,I'm lovvvvving this new update!!! 💖💖,1
445,Loooveeee this!!! 💕💕💕,0
446,I'm lovvvvving this new update!!! 💖💖,1
447,Win a free iPhone!!! Click here: http://scam.com,1
448,Order now and get 50% off! Limited time offer!,0
449,Order now and get 50% off! Limited time offer!,0
450,Follow me @user123 for more updates!!,0
451,Win a free iPhone!!! Click here: http://scam.com,0
452,Hey there!!! Visit my blog at https://example.com #blogging,1
453,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1
454,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1
455,Email me at contact@example.com for inquiries.,1
456,Hello everyone!!! Have a great day 😃,1
457,This is a test message with extraaaaaa letters!,0
458,Python is so cooool 😎😎!!!,1
459,I'm lovvvvving this new update!!! 💖💖,1
460,Tooootallly agree with you!!!,1
461,This is a test message with extraaaaaa letters!,1
462,OMG!!! This is sooooo exciting 😱😱,1
463,Python is so cooool 😎😎!!!,0
464,This is a test message with extraaaaaa letters!,1
465,Tooootallly agree with you!!!,1
466,Check out this new product: http://shop.com #shopping,1
467,Breaking News!!! Read more at http://news.com,0
468,100% Guaranteed!!! Best deals only today.,1
469,Hello everyone!!! Have a great day 😃,1
470,Email me at contact@example.com for inquiries.,0
471,Best offer ever!!! Call now 123-456-7890,0
472,Best offer ever!!! Call now 123-456-7890,0
473,Hey there!!! Visit my blog at https://example.com #blogging,1
474,Hello everyone!!! Have a great day 😃,0
475,Python is so cooool 😎😎!!!,0
476,Order now and get 50% off! Limited time offer!,1
477,Hello everyone!!! Have a great day 😃,0
478,Follow me @user123 for more updates!!,0
479,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1
480,100% Guaranteed!!! Best deals only today.,0
481,100% Guaranteed!!! Best deals only today.,1
482,Check out this new product: http://shop.com #shopping,0
483,I'm lovvvvving this new update!!! 💖💖,1
484,Tooootallly agree with you!!!,0
485,Loooveeee this!!! 💕💕💕,1
486,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
487,I'm lovvvvving this new update!!! 💖💖,1
488,Best offer ever!!! Call now 123-456-7890,1
489,Best offer ever!!! Call now 123-456-7890,1
490,Hello everyone!!! Have a great day 😃,0
491,Ohhh woww!! This is amaaazinggg 😍😍,1
492,I'm lovvvvving this new update!!! 💖💖,0
493,Best offer ever!!! Call now 123-456-7890,0
494,I'm lovvvvving this new update!!! 💖💖,1
495,Win a free iPhone!!! Click here: http://scam.com,1
496,Python is so cooool 😎😎!!!,1
497,Email me at contact@example.com for inquiries.,1
498,Hey there!!! Visit my blog at https://example.com #blogging,0
499,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1
500,Python is so cooool 😎😎!!!,0
